,Name,PlayerId,color,WAR
461,Abe White,1013851,white,-0.017978664773711607
950,Alex White,10054,white,-0.5622872945864059
1475,Arthur White,1016711,white,-0.060302308991726096
1603,Barney White,1013852,white,0.0166889128290632
2407,Bill White,3089,white,-0.3234254717826843
2408,Bill White,1013853,white,0.0008576383119441
2409,Bill White,1013854,white,4.972764663496035
2410,Bill White,1013855,white,34.01115352949026
3272,Brendan White,26024,white,0.189548933878541
3783,Butler White,1016712,white,0.0988545141151238
3815,C.B. White,1013857,white,-0.1129986706957678
4200,Chaney White,1016713,white,14.1283987009359
4515,Charlie White,1013859,white,0.0198835982984341
4952,Clarence White,1016714,white,0.5865774432546762
6174,Deacon White,1013860,white,41.15961326968264
6204,Deke White,1013861,white,-0.1645772797656302
6331,Derrick White,1013863,white,-1.7567774085275367
6347,Devon White,1013862,white,41.82431821058381
6627,Doc White,1013864,white,34.077836455533216
6792,Don White,1013865,white,-1.7390993219441278
7412,Ed White,1013867,white,0.0784202775458723
7540,Eddie White,1016715,white,-0.055833500695329
7647,Elder White,1013870,white,-0.3765104768339959
7658,Eli White,19346,white,0.305409909679086
7722,Elmer White,1013869,white,-0.1010596229916329
7971,Ernie White,1013871,white,5.932566090087702
8024,Eugene White,1016716,white,0.0552759749955742
8047,Evan White,20078,white,-0.7844761896653589
8533,Frank White,1013872,white,31.06976650233957
8811,Fuzz White,1013873,white,-0.1667227880359116
8831,Gabe White,360,white,3.8970070086895774
9398,George White,1016717,white,-0.0071770921349525
9869,Hal White,1013877,white,6.1191489884451515
11099,Jack White,1013878,white,-0.1063624525757964
11100,Jack White,1013879,white,-0.2403993280673684
11350,James White,1016718,white,-0.3877425186904835
11887,Jerry White,1013880,white,3.504885710876552
12576,Jo-Jo White,1013881,white,2.1825664821151536
14836,Kirby White,1013883,white,0.928785485373135
14986,Ladd White,1016719,white,0.3281166659761133
15129,Larry White,1013884,white,-0.0263325754455373
16376,Matt White,1720,white,-0.29080585797805747
17104,Mike White,1013888,white,0.5504833472658452
17177,Mitch White,19225,white,1.3181431580422873
17281,Myron White,1013889,white,0.0250775987167883
17804,Owen White,22273,white,-0.2185048907995224
19267,Rick White,456,white,4.024670896624728
19425,Robert White,1016720,white,0.1261522703871554
19658,Rondell White,856,white,23.779075943423955
19801,Roy White,1013890,white,41.00857661756861
20214,Sam White,1013891,white,-0.0181911333788208
20242,Sammy White,1013892,white,7.121399278955132
20468,Sean White,5564,white,0.3386951982975006
21038,Steve White,1013894,white,-0.249097738684973
21039,Steve White,1016721,white,0.0475707650866372
22290,Tyler White,15564,white,0.739039291966958
22668,Warren White,1013895,white,2.2242018015526432
22839,Will White,1013897,white,27.38899407486405
38,(Unknown) Brown,1014720,brown,-0.1961877716811218
39,(Unknown) Brown,1014730,brown,-0.0118905348059119
40,(Unknown) Brown,1014734,brown,-0.0436424610346807
41,(Unknown) Brown,1014735,brown,-0.0190707352012395
553,Adrian Brown,985,brown,-1.4436402425767665
1028,Alton Brown,1001492,brown,-0.2443286778813828
1090,Andrew Brown,2115,brown,0.6787602193653584
1091,Andrew Brown,3837,brown,-0.0550170652783865
1546,B. Brown,1014727,brown,-0.0974360700214511
1586,Barney Brown,1014703,brown,13.445209515474822
1651,Ben Brown,23590,brown,1.2777663171291351
1743,Benny Brown,1014704,brown,-0.3977365327062865
1898,Bill Brown,1001493,brown,-0.2018886206369923
2654,Bob Brown,1001495,brown,1.4498689918655765
2982,Bobby Brown,1001496,brown,7.185038438230711
2983,Bobby Brown,1001497,brown,2.1278663552401844
3256,Brant Brown,1001498,brown,-0.5971536466547164
3482,Brooks Brown,5679,brown,0.2250833207958185
3758,Buster Brown,1001499,brown,7.545321543330049
3798,Byron Browne,1001500,brown,0.5830398817094539
4065,Carroll Brown,1001494,brown,2.04129726455496
4301,Charlie Brown,1001502,brown,-0.16681276601507028
4655,Chris Brown,1001503,brown,6.167713946997226
4915,Clarence Brown,1014705,brown,0.2208272396329739
5075,Clint Brown,1001504,brown,19.344937659386904
5253,Corey Brown,2650,brown,0.1222201530178756
5297,Country Brown,1014709,brown,0.843635680809325
5367,Curly Brown,1001505,brown,0.6153270444465253
5373,Curt Brown,1001507,brown,0.45552930062635294
5393,Curtis Brown,1001506,brown,-0.0988659317977577
5394,Curtis Brown,1014706,brown,0.1380212877064613
5795,Darrell Brown,1001508,brown,-0.2648199720689953
5873,Dave Brown,1014707,brown,17.140838923998015
6192,Dee Brown,593,brown,-4.015138261246582
6229,Delos Brown,1001509,brown,-0.0209065090937447
6381,Dick Brown,1001510,brown,4.923785221991887
6663,Domonic Brown,3154,brown,0.1050517372029367
6934,Drummond Brown,1001511,brown,0.074605738529301
7007,Dusty Brown,3420,brown,-0.3766043724574172
7076,Earl Brown,1014708,brown,-0.022497923509065515
7077,Earl Browne,1001512,brown,0.2909477332596829
7164,Ed Brown,1001513,brown,-1.0380935354276277
7441,Eddie Brown,1001514,brown,6.904486883493992
7689,Elmer Brown,1001515,brown,-0.3974625568869354
7690,Elmer Brown,1014710,brown,-0.0419924596843011
7748,Emil Brown,1197,brown,3.5503358496969186
8598,Fred Brown,1001516,brown,-0.1444735594258559
8892,Gary Brown,11464,brown,0.2266264399579821
8960,Gates Brown,1001518,brown,9.430640843541848
9109,George Brown,1014711,brown,-1.4485890898212213
9110,George Brown,1014728,brown,0.5216870559583103
9111,George Brown,1014732,brown,0.0714730910186609
9112,George Browne,1001519,brown,11.776109841732833
9807,Hal Brown,1001520,brown,18.628022364707384
10628,Hunter Brown,25880,brown,5.5343459555879235
10683,Ike Brown,1001521,brown,2.7780374664358023
10770,J. Brown,1014712,brown,0.0437874538375984
10771,J. Brown,1014729,brown,-0.0664882353569332
10772,J. Brown,1014733,brown,-0.0018837266642137973
11109,Jackie Brown,1001522,brown,5.5880113643254905
11198,Jake Brown,1001523,brown,-0.2073526715188618
11298,James Brown,1014713,brown,0.5424057963837607
11362,Jamie Brown,371,brown,0.0159784518182277
11408,Jarvis Brown,1001524,brown,-0.1157414696977188
11764,Jeremy Brown,4512,brown,0.0402161243375308
11801,Jerry Browne,1001525,brown,10.30458807805927
11908,Jesse Brown,1014714,brown,2.396401755499436
12041,Jim Brown,1001526,brown,-0.4370959338937194
12042,Jim Brown,1001527,brown,0.1654756930851185
12043,Jim Brown,1014715,brown,5.142367627626188
12474,Jimmy Brown,1001528,brown,8.513753972834143
12648,Joe Brown,1001529,brown,0.5340470733661857
12649,Joe Brown,1001531,brown,0.0
12650,Joe Brown,1014716,brown,-0.3340338279537561
13143,John Brown,1001530,brown,-0.0718441694651258
